title;url;date_time
The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html;2020-12-11 09:06:27.060557
The Past Never Ends;https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html;2020-12-11 09:06:27.060557
The Natural History of Us (The Fine Art of Pretending #2);https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html;2020-12-11 09:06:27.060557
The Nameless City (The Nameless City #1);https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html;2020-12-11 09:06:27.060557
The Murder That Never Was (Forensic Instincts #5);https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html;2020-12-11 09:06:27.060557
The Most Perfect Thing: Inside (and Outside) a Bird's Egg;https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html;2020-12-11 09:06:27.060557
The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html;2020-12-11 09:06:27.060557
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html;2020-12-11 09:06:27.060557
The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer;https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html;2020-12-11 09:06:27.060557
The Gutsy Girl: Escapades for Your Life of Epic Adventure;https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html;2020-12-11 09:06:27.060557
The Electric Pencil: Drawings from Inside State Hospital No. 3;https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html;2020-12-11 09:06:27.060557
The Death of Humanity: and the Case for Life;https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html;2020-12-11 09:06:27.060557
